estacio,data,contaminant,unitats,latitud,longitud,valor,
Eixample,2022-03-07,NO2,xc2xb5gm3,41.385315,2.1537998,40.8750000000000000,
Eixample,2022-03-08,NO2,xc2xb5gm3,41.385315,2.1537998,63.5833333333333333,
Eixample,2022-03-09,NO2,xc2xb5gm3,41.385315,2.1537998,52.2500000000000000,
Eixample,2022-03-10,NO2,xc2xb5gm3,41.385315,2.1537998,60.0000000000000000,
Eixample,2022-03-11,NO2,xc2xb5gm3,41.385315,2.1537998,61.9166666666666667,
Eixample,2022-03-12,NO2,xc2xb5gm3,41.385315,2.1537998,43.7083333333333333,
Eixample,2022-03-13,NO2,xc2xb5gm3,41.385315,2.1537998,43.7916666666666667,
Eixample,2022-03-14,NO2,xc2xb5gm3,41.385315,2.1537998,24.1250000000000000,
Eixample,2022-03-15,NO2,xc2xb5gm3,41.385315,2.1537998,23.5416666666666667,
Eixample,2022-03-16,NO2,xc2xb5gm3,41.385315,2.1537998,26.3333333333333333,
Eixample,2022-03-17,NO2,xc2xb5gm3,41.385315,2.1537998,31.5416666666666667,
Eixample,2022-03-18,NO2,xc2xb5gm3,41.385315,2.1537998,30.9166666666666667,
Eixample,2022-03-19,NO2,xc2xb5gm3,41.385315,2.1537998,31.6250000000000000,
Eixample,2022-03-20,NO2,xc2xb5gm3,41.385315,2.1537998,27.3750000000000000,
Eixample,2022-03-21,NO2,xc2xb5gm3,41.385315,2.1537998,23.5000000000000000,
Eixample,2022-03-22,NO2,xc2xb5gm3,41.385315,2.1537998,30.9166666666666667,
Eixample,2022-03-23,NO2,xc2xb5gm3,41.385315,2.1537998,40.8750000000000000,
Eixample,2022-03-24,NO2,xc2xb5gm3,41.385315,2.1537998,47.0416666666666667,
Eixample,2022-03-25,NO2,xc2xb5gm3,41.385315,2.1537998,40.0000000000000000,
Eixample,2022-03-26,NO2,xc2xb5gm3,41.385315,2.1537998,35.2083333333333333,
Eixample,2022-03-27,NO2,xc2xb5gm3,41.385315,2.1537998,30.6521739130434783,
Eixample,2022-03-28,NO2,xc2xb5gm3,41.385315,2.1537998,78.1666666666666667,
Eixample,2022-03-29,NO2,xc2xb5gm3,41.385315,2.1537998,48.3750000000000000,
Eixample,2022-03-30,NO2,xc2xb5gm3,41.385315,2.1537998,43.1666666666666667,
Eixample,2022-03-31,NO2,xc2xb5gm3,41.385315,2.1537998,36.5500000000000000,
Eixample,2022-04-01,NO2,xc2xb5gm3,41.385315,2.1537998,30.2083333333333333,
Eixample,2022-04-02,NO2,xc2xb5gm3,41.385315,2.1537998,19.5833333333333333,
Eixample,2022-04-03,NO2,xc2xb5gm3,41.385315,2.1537998,28.2500000000000000,
Eixample,2022-04-04,NO2,xc2xb5gm3,41.385315,2.1537998,36.6250000000000000,
